latitude,longitude,zpid,City,streetaddress,zipcode,hometype,bathrooms,bedrooms,livingarea,yearbuilt,lotsize,listingstatus,pricevalue,pricepersquirefoot,zestimate,rentzestimate
37.307487,-121.79575,19805159,San Jose,3543 Kettmann Rd,95121,singleFamily,5.0,6.0,3477.0,2026.0,6613.0,forSale,3248000,934.0,,2329.0
37.268368,-121.86678,19702947,San Jose,832 Raeburn Ct,95136,singleFamily,2.0,2.0,1291.0,1977.0,5227.0,forSale,1299000,1006.0,1275600.0,3400.0
37.320152,-121.91303,63065471,San Jose,1390 Saddle Rack St APT 308,95126,condo,2.0,2.0,1258.0,2004.0,1305.0,forSale,585950,466.0,,3189.0
37.417137,-121.94388,153138209,San Jose,584 Hermitage Dr,95134,manufactured,3.0,4.0,1800.0,2025.0,,forSale,529000,294.0,518900.0,3899.0
37.31365,-121.84295,19716832,San Jose,2269 Warfield Way Unit A,95122,condo,1.0,2.0,885.0,1979.0,,forSale,599000,677.0,593200.0,2730.0
37.343304,-121.80213,19787557,San Jose,2030 Flintbury Ct,95148,singleFamily,3.0,4.0,1661.0,1981.0,6600.0,forSale,1389000,836.0,1388100.0,4594.0
37.280804,-121.97777,460524610,Campbell,2245 S San Tomas Aquino Rd,95008,singleFamily,3.0,4.0,2410.0,1984.0,6800.0,forSale,2250000,934.0,2195400.0,
37.312244,-121.98788,19648747,San Jose,841 Brentwood Dr,95129,singleFamily,2.0,4.0,1569.0,1961.0,5394.0,forSale,2650000,1689.0,,
37.338303,-121.91573,19574869,San Jose,677 Elm St,95126,singleFamily,1.0,2.0,817.0,1912.0,3920.0,forSale,898000,1099.0,904900.0,2989.0
37.24895,-121.81447,19828182,San Jose,222 Belden Dr,95123,singleFamily,4.0,4.0,1849.0,1963.0,5000.0,forSale,1399888,757.0,1378000.0,5227.0
37.26642,-121.86366,19703027,San Jose,4537 Heppner Ln,95136,singleFamily,3.0,3.0,2039.0,1970.0,5750.0,forSale,1445000,709.0,1423600.0,4959.0
37.304405,-121.80904,19805279,San Jose,2652 Orinda Dr,95121,singleFamily,4.0,5.0,2948.0,2026.0,6600.0,forSale,2698000,915.0,2655100.0,6673.0
37.40338,-121.88501,89475612,San Jose,2174 Beech Cir,95131,townhome,3.0,3.0,1536.0,2008.0,,forSale,999888,651.0,990100.0,4115.0
37.201996,-121.8502,19767775,San Jose,1059 Quail Creek Cir,95120,singleFamily,2.0,3.0,1827.0,1991.0,6098.0,forSale,1899000,1039.0,1867300.0,4847.0
37.30412,-121.81181,19806537,San Jose,3341 Placer Creek Ct,95121,townhome,3.0,3.0,1452.0,1972.0,1056.0,forSale,799000,550.0,800700.0,4119.0
37.306843,-121.84781,19738302,San Jose,575 Guerra Ct,95111,singleFamily,1.0,3.0,1053.0,1979.0,3960.0,forSale,975000,926.0,959400.0,3625.0
37.254967,-121.90554,19695959,San Jose,1660 Tawnygate Way,95124,singleFamily,2.0,3.0,1729.0,1971.0,4028.0,forSale,1799000,1040.0,1759600.0,4509.0
37.288956,-121.888435,19687357,San Jose,1127 Pascoe Ave,95125,singleFamily,2.0,3.0,1796.0,1941.0,5940.0,forSale,1899000,1057.0,,4625.0
37.263027,-121.85573,19708752,San Jose,600 Calpella Dr,95136,singleFamily,3.0,4.0,1954.0,1974.0,8960.0,forSale,1598888,818.0,1575000.0,5170.0
37.27353,-121.75498,19813108,San Jose,5849 Gleneagles Cir,95138,singleFamily,5.0,5.0,3809.0,1998.0,0.269742883379247,forSale,3599999,945.0,3530800.0,7098.0
37.294777,-121.75228,19798849,San Jose,5081 Cribari Blfs,95135,condo,2.0,2.0,1348.0,1968.0,,forSale,679000,504.0,671100.0,3089.0
37.394108,-121.87486,19565009,San Jose,2280 Zoria Cir,95131,singleFamily,2.0,4.0,1530.0,1972.0,6000.0,forSale,1400000,915.0,1392600.0,4565.0
37.286224,-121.76008,51075208,San Jose,2626 Carmella Ct,95135,singleFamily,5.0,6.0,3972.0,2001.0,0.26,forSale,3689900,929.0,3560700.0,7135.0
37.252636,-121.92503,19674420,San Jose,14871 Payton Ave,95124,singleFamily,5.0,6.0,4372.0,2026.0,9300.0,forSale,4499998,1029.0,4578500.0,5041.0
37.26877,-121.90043,19694736,San Jose,1570 Hillsdale Ave,95118,singleFamily,5.0,5.0,2809.0,1961.0,6890.0,forSale,1890000,673.0,,
37.288555,-121.878006,19700280,San Jose,867 Ironwood Dr,95125,singleFamily,4.0,4.0,1943.0,1960.0,6000.0,forSale,1589000,818.0,,
37.289608,-121.88544,19688218,San Jose,1036 Pascoe Ave,95125,singleFamily,2.0,3.0,1465.0,1956.0,5500.0,forSale,1650000,1126.0,1633200.0,5421.0
37.295513,-121.86419,64867955,San Jose,363 Bella Ridge Ter,95125,singleFamily,3.0,3.0,1620.0,2004.0,1396.0,forSale,1100000,679.0,1090400.0,4223.0
37.36283,-121.8616,19570615,San Jose,1816 Luby Dr,95133,multiFamily,3.0,6.0,2724.0,1988.0,9452.0,forSale,1000000,367.0,,3304.0
37.326477,-121.86875,19713973,San Jose,951 S 12th St APT 220,95112,condo,2.0,2.0,1231.0,1992.0,,forSale,649000,527.0,640600.0,3093.0
37.330334,-121.88,19713637,San Jose,526 S 5th St,95112,singleFamily,2.0,4.0,1680.0,1905.0,4340.0,forSale,1200000,714.0,1176400.0,4436.0
37.308277,-121.91623,19590614,San Jose,1512 Huddersfield Ct,95126,townhome,3.0,3.0,1384.0,1972.0,,forSale,1178000,851.0,1160700.0,4262.0
37.254627,-121.806206,460601370,San Jose,165 Blossom Hill Rd Space 145,95123,manufactured,2.0,3.0,1500.0,2008.0,,forSale,459900,307.0,,
37.29537,-121.923935,19591321,San Jose,1690 Braddock Ct,95125,condo,2.0,2.0,1044.0,1984.0,1044.0,forSale,818800,784.0,806600.0,3299.0
37.27862,-121.827385,19733177,San Jose,240 Santa Rosa Dr,95111,singleFamily,2.0,3.0,1123.0,1959.0,5100.0,forSale,999990,890.0,985000.0,3823.0
37.307556,-121.88719,19683930,San Jose,1462 Hervey Ln,95125,singleFamily,2.0,2.0,1394.0,1950.0,10440.0,forSale,1399000,1004.0,1373100.0,3548.0
37.31017,-121.96563,19606543,San Jose,3627 Cabernet Vineyards Cir,95117,townhome,3.0,2.0,1496.0,1990.0,,forSale,1038000,694.0,1027500.0,3576.0
37.329517,-121.93892,19583717,San Jose,2167 Emory St,95128,singleFamily,2.0,3.0,2278.0,1975.0,8496.0,forSale,1999888,878.0,1966600.0,6356.0
37.319496,-121.98177,19603013,San Jose,410 Auburn Way APT 42,95129,condo,2.0,2.0,1099.0,1970.0,435.6,forSale,590000,537.0,628500.0,3006.0
37.267868,-121.90605,119976659,San Jose,1653 Hillsdale Ave Unit 4,95124,townhome,3.0,3.0,1535.0,2013.0,,forSale,1098000,715.0,,
37.326523,-121.79783,19732332,San Jose,2955 Vineyard Park Dr,95148,singleFamily,3.0,4.0,1955.0,1998.0,3900.0,forSale,1599888,818.0,,
37.365803,-121.80603,19782739,San Jose,3561 Story Rd,95127,singleFamily,2.0,4.0,1513.0,1964.0,6100.0,forSale,1250000,826.0,1230200.0,4439.0
37.35941,-121.88386,19567473,San Jose,791 N 19th St,95112,singleFamily,2.0,3.0,1340.0,1949.0,5625.0,forSale,1149000,857.0,1131900.0,3879.0
37.209103,-121.854996,19766666,San Jose,1171 Wilhelmina Way,95120,singleFamily,3.0,5.0,3144.0,1979.0,0.2510330578512397,forSale,2249950,716.0,2219900.0,7556.0
37.391525,-121.86686,19564149,San Jose,1357 Old Rose Pl,95132,singleFamily,2.0,4.0,1234.0,1976.0,6098.4,forSale,1474000,1194.0,1501100.0,4342.0
37.301346,-121.97256,19604197,San Jose,4049 Payne Ave,95117,singleFamily,2.0,4.0,1769.0,1963.0,7015.0,forSale,1988000,1124.0,1988700.0,5406.0
37.282963,-121.862976,2077802812,San Jose,255 Mountain Springs Dr #255,95136,manufactured,2.0,3.0,1584.0,1979.0,,forSale,549999,347.0,547100.0,3790.0
37.38789,-121.83709,19778428,San Jose,3339 San Pablo Ave,95127,singleFamily,1.0,3.0,1006.0,1954.0,4992.0,forSale,899888,895.0,921800.0,4538.0
37.30771,-121.90918,19578964,San Jose,1013 Camino Pablo,95125,singleFamily,5.0,6.0,4000.0,2025.0,6634.0,forSale,4500000,1125.0,4385000.0,7599.0
37.270397,-121.914764,19691182,San Jose,2872 Manda Dr,95124,singleFamily,2.0,4.0,1320.0,1954.0,5335.0,forSale,1599000,1211.0,1579200.0,5438.0
37.29689,-121.92516,19591927,San Jose,1947 Huxley Ct,95125,townhome,2.0,2.0,1004.0,1982.0,,forSale,810000,807.0,801000.0,3263.0
37.36425,-121.82079,19782350,San Jose,317 Dale Dr,95127,singleFamily,2.0,3.0,1368.0,1947.0,8162.0,forSale,1199888,877.0,1184000.0,3883.0
37.278866,-121.75632,19812869,San Jose,5707 Capilano Dr,95138,singleFamily,5.0,5.0,3293.0,1997.0,7742.0,forSale,3098800,941.0,3043100.0,6569.0
37.387047,-121.84145,19780335,San Jose,3195 Kawalker Ln,95127,singleFamily,3.0,4.0,2247.0,1974.0,6000.0,forSale,1999888,890.0,,
37.37963,-121.86921,19566223,San Jose,1135 Pandolfi Pl,95131,townhome,2.0,4.0,1320.0,1971.0,1742.4,forSale,759000,575.0,753100.0,3862.0
37.39109,-121.85397,19773710,San Jose,2885 Berryessa Rd,95132,singleFamily,3.0,3.0,2026.0,1970.0,6720.0,forSale,1891000,933.0,1854800.0,4571.0
,,460612770,Sanjose,4913 Vivi Pl,95124,singleFamily,3.0,4.0,2531.0,2026.0,3200.0,forSale,2849000,1126.0,,
37.246655,-121.85344,19830937,San Jose,5707 Calmor Ave APT 3,95123,condo,1.0,2.0,903.0,1970.0,,forSale,499999,554.0,495300.0,2914.0
37.317135,-121.878105,19683413,San Jose,1210 Mastic St,95110,singleFamily,1.0,2.0,657.0,1915.0,1600.0,forSale,770000,1172.0,754900.0,2324.0
